company,year,revenue,net_profit,operating_cashflow,borrowings,cash_and_bank,label
Bajaj Finserv,2016,20533.28,1863.27,-9795.15,36062.09,2167.51,0
Bajaj Finserv,2017,24507.3,2261.92,-10922.24,48282.04,1498.67,0
Bajaj Finserv,2018,32862.46,2650.26,-19580.16,65694.72,1606.44,0
Bajaj Finserv,2019,42605.4,3219.04,-27076.37,99754.35,1588.89,0
Bajaj Finserv,2020,54351.37,3369.13,-23369.03,127212.03,2525.23,0
Bajaj Finserv,2021,60591.52,4470.46,4547.4,128460.85,3410.49,0
Bajaj Finserv,2022,68406.28,4556.77,-33669.99,161179.18,4403.03,0
Bajaj Finserv,2023,82071.7,6417.28,-39479.54,212264.97,5377.22,0
Bajaj Finserv,2024,110382.29,8147.79,-65502.04,288932.62,12386.66,0
Bajaj Finserv,2025,133822.12,8872.31,-62113.25,355854.65,15736.8,0
DHFL,2016,7543.0,901.0,-2134.0,56421.0,1234.0,1
DHFL,2017,9813.0,1017.0,-5678.0,71238.0,987.0,1
DHFL,2018,12846.0,1243.0,-9823.0,89467.0,743.0,1
DHFL,2019,14026.0,52.0,-14234.0,103245.0,312.0,1
HCL Technologies,2017,47568.0,8606.0,8995.0,582.0,9044.0,0
HCL Technologies,2018,50569.0,8721.0,8328.0,557.0,4018.0,0
HCL Technologies,2019,60427.0,10120.0,8971.0,4195.0,7872.0,0
HCL Technologies,2020,70676.0,11057.0,13359.0,7986.0,4976.0,0
HCL Technologies,2021,75379.0,11145.0,19618.0,6864.0,8888.0,0
HCL Technologies,2022,85651.0,13499.0,16900.0,6343.0,12636.0,0
HCL Technologies,2023,101456.0,14851.0,18009.0,4794.0,14724.0,0
HCL Technologies,2024,109913.0,15702.0,22448.0,5758.0,20150.0,0
HCL Technologies,2025,117055.0,17390.0,22261.0,6276.0,21289.0,0
HCL Technologies,2026,130144.0,16642.0,19975.0,5215.0,23425.0,0
IL&FS Engg,2016,2131.54,-325.75,-176.94,2166.04,21.66,1
IL&FS Engg,2017,1817.71,-46.29,51.36,2162.29,21.94,1
IL&FS Engg,2018,1868.76,11.54,-116.86,2643.39,28.48,1
IL&FS Engg,2019,1239.14,-2042.78,228.83,2692.06,29.36,1
IL&FS Engg,2020,562.39,-405.05,216.18,2672.52,260.8,1
IL&FS Engg,2021,332.74,-285.02,34.99,2669.44,260.81,1
IL&FS Engg,2022,307.64,-386.13,97.54,2668.83,331.75,1
IL&FS Engg,2023,177.1,-123.98,7.76,2671.45,330.94,1
IL&FS Engg,2024,258.54,-77.45,-72.75,2670.77,341.36,1
IL&FS Engg,2025,321.38,-4.88,-48.81,2672.41,317.62,1
Infosys,2017,68484.0,14353.0,11531.0,,22625.0,0
Infosys,2018,70522.0,16029.0,13218.0,,19818.0,0
Infosys,2019,82675.0,15404.0,14841.0,,19568.0,0
Infosys,2020,90791.0,16594.0,17003.0,4633.0,18649.0,0
Infosys,2021,100472.0,19351.0,23224.0,5325.0,24714.0,0
Infosys,2022,121641.0,22110.0,23885.0,5474.0,17472.0,0
Infosys,2023,146767.0,24095.0,22467.0,8299.0,12173.0,0
Infosys,2024,153670.0,26233.0,25210.0,8359.0,14786.0,0
Infosys,2025,162990.0,26713.0,35694.0,8227.0,24455.0,0
Infosys,2026,178650.0,29440.0,33986.0,9176.0,22201.0,0
Reliance Industries,2017,303954.0,29901.0,49550.0,217475.0,3023.0,0
Reliance Industries,2018,390823.0,36075.0,71459.0,239843.0,4255.0,0
Reliance Industries,2019,568337.0,39588.0,42346.0,307714.0,11081.0,0
Reliance Industries,2020,596679.0,39354.0,94877.0,355133.0,30920.0,0
Reliance Industries,2021,466307.0,49128.0,26958.0,278962.0,17397.0,0
Reliance Industries,2022,694673.0,60705.0,110654.0,319158.0,36178.0,0
Reliance Industries,2023,876396.0,66702.0,115032.0,451664.0,68664.0,0
Reliance Industries,2024,899041.0,69621.0,158788.0,350719.0,97225.0,0
Reliance Industries,2025,962820.0,69648.0,178703.0,374313.0,106502.0,0
Reliance Industries,2026,1057219.0,80775.0,192113.0,398000.0,145977.0,0
Satyam Computer,2006,4792.59,1141.73,752.31,193.72,3111.7,1
Satyam Computer,2007,6485.08,1404.74,1005.44,193.38,3991.42,1
Satyam Computer,2008,8473.49,1687.89,1328.6,216.65,4502.42,1
Satyam Computer,2009,8812.6,-8176.8,512.4,814.2,500.9,1
Satyam Computer,2010,5481.0,-124.6,-9.8,42.2,2176.8,1
Satyam Computer,2011,5145.0,-147.3,-67.8,31.5,2745.2,1
Satyam Computer,2012,6395.6,1306.0,108.7,29.3,2851.9,1
TCS,2017,117966.0,26289.0,25223.0,289.0,4149.0,0
TCS,2018,123104.0,25826.0,25067.0,247.0,7161.0,0
TCS,2019,146463.0,31472.0,28593.0,62.0,12848.0,0
TCS,2020,156949.0,32340.0,32369.0,8174.0,9666.0,0
TCS,2021,164177.0,32430.0,38802.0,7795.0,9329.0,0
TCS,2022,191754.0,38327.0,39949.0,7818.0,18221.0,0
TCS,2023,225458.0,42147.0,41965.0,7688.0,11032.0,0
TCS,2024,240893.0,45908.0,44338.0,8021.0,13286.0,0
TCS,2025,255324.0,48553.0,48908.0,9392.0,15463.0,0
TCS,2026,267021.0,49210.0,52094.0,11283.0,12908.0,0
Wipro,2017,55448.4,8493.1,9277.3,14241.2,5271.0,0
Wipro,2018,54487.1,8002.8,8423.3,13901.2,4492.5,0
Wipro,2019,59018.9,9003.7,11631.6,9946.7,15852.9,0
Wipro,2020,61137.6,9722.3,10064.3,9724.0,14449.9,0
Wipro,2021,61934.9,10796.4,14755.0,10451.4,16979.3,0
Wipro,2022,79312.0,12229.6,11079.7,17592.9,10383.6,0
Wipro,2023,90487.6,11350.0,13060.1,17466.6,9188.0,0
Wipro,2024,89760.3,11045.2,17621.6,16464.9,9695.3,0
Wipro,2025,89088.4,13135.4,16942.6,19203.5,12197.4,0
Wipro,2026,92624.0,13197.4,14931.6,20291.0,10555.5,0
Yes Bank,2017,16425.0,3339.89,4384.14,181464.11,6381.53,0
Yes Bank,2018,20268.59,4233.22,-21810.44,275582.18,10803.08,0
Yes Bank,2019,29623.8,1709.27,-24573.3,335982.01,10164.35,0
Yes Bank,2020,26052.02,-16432.58,-57721.22,219101.67,4312.91,0
Yes Bank,2021,20039.28,-3488.93,55395.71,226795.01,6022.39,0
Yes Bank,2022,19018.77,1064.05,23597.74,269402.76,42659.36,0
Yes Bank,2023,22702.16,735.82,-25816.26,295136.17,11974.89,0
Yes Bank,2024,27605.86,1285.2,9644.55,346737.14,17177.17,0
Yes Bank,2025,30918.81,2446.49,6386.4,356391.48,14215.16,0
Yes Bank,2026,30208.45,3511.71,21216.85,384420.05,16745.18,0
